work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,employee_residence_iso,company_location_iso
2020-01-01,Entry-level,Full Time,Machine Learning,45896,Denmark,Partial Remote,Denmark,Small,DNK,DNK
2020-01-01,Entry-level,Full Time,Data Engineer,54742,Pakistan,>80% Remote,Germany,Large,PAK,DEU
2020-01-01,Senior-level,Freelance,Machine Learning,60000,Russian Federation,>80% Remote,United States,Small,RUS,USA
2020-01-01,Senior-level,Full Time,Data Scientist,148261,Germany,>80% Remote,Germany,Medium,DEU,DEU
2020-01-01,Mid-level,Full Time,Data Scientist,38776,Spain,>80% Remote,Spain,Medium,ESP,ESP
2020-01-01,Mid-level,Full Time,Data Scientist,118000,United States,>80% Remote,United States,Medium,USA,USA
2020-01-01,Senior-level,Full Time,Data Scientist,120000,United States,Partial Remote,United States,Large,USA,USA
2020-01-01,Mid-level,Full Time,Data Scientist,138350,United States,>80% Remote,United States,Medium,USA,USA
2020-01-01,Mid-level,Full Time,Data Engineer,110000,United States,>80% Remote,United States,Large,USA,USA
2020-01-01,Mid-level,Full Time,Data Engineer,130800,Spain,>80% Remote,United States,Medium,ESP,USA
2020-01-01,Entry-level,Part Time,Data Scientist,21669,Italy,Partial Remote,Italy,Small,ITA,ITA
2020-01-01,Senior-level,Full Time,Data Scientist,412000,United States,>80% Remote,United States,Large,USA,USA
2020-01-01,Senior-level,Full Time,Machine Learning,45618,Croatia,>80% Remote,Croatia,Small,HRV,HRV
2020-01-01,Entry-level,Full Time,Data Scientist,62726,Germany,Partial Remote,Germany,Small,DEU,DEU
2020-01-01,Entry-level,Full Time,Data Scientist,49268,Germany,<20% Remote,Germany,Small,DEU,DEU
2020-01-01,Senior-level,Full Time,Data Scientist,190200,United States,>80% Remote,United States,Medium,USA,USA
2020-01-01,Entry-level,Full Time,Data Scientist,105000,United States,>80% Remote,United States,Small,USA,USA
2020-01-01,Senior-level,Full Time,Data Scientist,91237,Austria,<20% Remote,Austria,Small,AUT,AUT
2020-01-01,Mid-level,Full Time,Data Scientist,62726,France,Partial Remote,Luxembourg,Small,FRA,LUX
2020-01-01,Mid-level,Full Time,Data Scientist,42197,France,Partial Remote,France,Small,FRA,FRA
2021-01-01,Entry-level,Full Time,research scientist,82528,United Kingdom,Partial Remote,United Kingdom,Large,GBR,GBR
2021-01-01,Executive-level,Full Time,Data Analyst,150000,India,>80% Remote,United States,Large,IND,USA
2021-01-01,Executive-level,Full Time,Data Scientist,235000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Data Scientist,53192,France,Partial Remote,France,Large,FRA,FRA
2021-01-01,Mid-level,Full Time,Data Analyst,100000,United States,>80% Remote,United States,Medium,USA,USA
2021-01-01,Mid-level,Part Time,Machine Learning,5409,India,Partial Remote,India,Medium,IND,IND
2021-01-01,Mid-level,Contract,Machine Learning,270000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Entry-level,Full Time,Data Analyst,80000,United States,>80% Remote,United States,Medium,USA,USA
2021-01-01,Senior-level,Full Time,Data Analyst,79197,Germany,>80% Remote,Germany,Large,DEU,DEU
2021-01-01,Mid-level,Full Time,Data Engineer,140000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Mid-level,Full Time,Data Scientist,54238,United Kingdom,Partial Remote,Canada,Large,GBR,CAN
2021-01-01,Mid-level,Full Time,Machine Learning,47282,Spain,>80% Remote,Spain,Small,ESP,ESP
2021-01-01,Executive-level,Full Time,Data Scientist,153667,Italy,>80% Remote,Poland,Large,ITA,POL
2021-01-01,Mid-level,Full Time,Data Engineer,28476,Poland,>80% Remote,Poland,Large,POL,POL
2021-01-01,Entry-level,Full Time,Data Analyst,59102,France,Partial Remote,France,Medium,FRA,FRA
2021-01-01,Mid-level,Full Time,Data Analyst,110000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Data Analyst,170000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Data Analyst,80000,Bulgaria,>80% Remote,United States,Small,BGR,USA
2021-01-01,Senior-level,Full Time,Data Analyst,88654,Greece,>80% Remote,Denmark,Large,GRC,DNK
2021-01-01,Entry-level,Full Time,Data Scientist,76833,Germany,>80% Remote,Germany,Small,DEU,DEU
2021-01-01,Mid-level,Full Time,Data Analyst,19609,India,>80% Remote,India,Large,IND,IND
2021-01-01,Senior-level,Full Time,Data Engineer,276000,United States,<20% Remote,United States,Large,USA,USA
2021-01-01,Entry-level,Full Time,Data Scientist,29751,India,Partial Remote,India,Large,IND,IND
2021-01-01,Mid-level,Full Time,Data Engineer,89294,Singapore,Partial Remote,Singapore,Large,SGP,SGP
2021-01-01,Entry-level,Part Time,Machine Learning,12000,Brazil,>80% Remote,United States,Small,BRA,USA
2021-01-01,Mid-level,Full Time,Data Analyst,450000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Entry-level,Full Time,Machine Learning,70000,United States,>80% Remote,United States,Medium,USA,USA
2021-01-01,Mid-level,Full Time,Machine Learning,95746,Germany,>80% Remote,United States,Small,DEU,USA
2021-01-01,Mid-level,Full Time,Data Analyst,75000,United States,<20% Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Data Engineer,150000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Mid-level,Full Time,Data Analyst,36259,Hungary,Partial Remote,United States,Large,HUN,USA
2021-01-01,Mid-level,Full Time,Data Analyst,62000,United States,<20% Remote,United States,Large,USA,USA
2021-01-01,Mid-level,Full Time,Data Scientist,73000,United States,<20% Remote,United States,Large,USA,USA
2021-01-01,Mid-level,Full Time,Data Analyst,51519,United Kingdom,Partial Remote,United Kingdom,Large,GBR,GBR
2021-01-01,Mid-level,Full Time,research scientist,187442,Canada,>80% Remote,Canada,Large,CAN,CAN
2021-01-01,Senior-level,Full Time,Data Engineer,115000,United States,>80% Remote,United States,Small,USA,USA
2021-01-01,Senior-level,Full Time,Data Engineer,150000,United States,>80% Remote,United States,Medium,USA,USA
2021-01-01,Entry-level,Full Time,Data Engineer,30428,India,>80% Remote,India,Large,IND,IND
2021-01-01,Senior-level,Full Time,Machine Learning,94564,Germany,Partial Remote,Germany,Large,DEU,DEU
2021-01-01,Senior-level,Full Time,Data Engineer,113476,United Kingdom,>80% Remote,United Kingdom,Medium,GBR,GBR
2021-01-01,Senior-level,Full Time,Data Engineer,103160,United Kingdom,>80% Remote,United Kingdom,Small,GBR,GBR
2021-01-01,Entry-level,Part Time,Machine Learning,12000,Pakistan,>80% Remote,United States,Medium,PAK,USA
2021-01-01,Mid-level,Full Time,Data Engineer,45391,Netherlands,>80% Remote,Netherlands,Large,NLD,NLD
2021-01-01,Mid-level,Full Time,Data Scientist,50000,Nigeria,>80% Remote,Nigeria,Large,NGA,NGA
2021-01-01,Mid-level,Full Time,Data Scientist,40189,Greece,>80% Remote,Greece,Medium,GRC,GRC
2021-01-01,Entry-level,Full Time,Data Analyst,90000,United States,>80% Remote,United States,Small,USA,USA
2021-01-01,Mid-level,Full Time,Data Engineer,200000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Mid-level,Full Time,Data Engineer,60000,Spain,Partial Remote,Romania,Medium,ESP,ROU
2021-01-01,Senior-level,Full Time,Data Engineer,200000,United States,>80% Remote,United States,Medium,USA,USA
2021-01-01,Entry-level,Full Time,Data Analyst,50000,United States,>80% Remote,United States,Medium,USA,USA
2021-01-01,Entry-level,Full Time,Data Scientist,110037,United Kingdom,<20% Remote,United Kingdom,Large,GBR,GBR
2021-01-01,Entry-level,Part Time,Data Analyst,10354,Spain,Partial Remote,Spain,Medium,ESP,ESP
2021-01-01,Mid-level,Full Time,Data Scientist,151000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Machine Learning,120000,United States,Partial Remote,United States,Small,USA,USA
2021-01-01,Mid-level,Full Time,Data Scientist,9466,India,<20% Remote,India,Small,IND,IND
2021-01-01,Entry-level,Full Time,Machine Learning,20000,India,>80% Remote,India,Small,IND,IND
2021-01-01,Senior-level,Full Time,Data Scientist,40570,India,Partial Remote,India,Large,IND,IND
2021-01-01,Entry-level,Full Time,Machine Learning,100000,Iraq,Partial Remote,Iraq,Small,IRQ,IRQ
2021-01-01,Entry-level,Full Time,Data Scientist,49646,France,Partial Remote,France,Medium,FRA,FRA
2021-01-01,Mid-level,Full Time,Machine Learning,38400,Viet Nam,>80% Remote,United States,Medium,VNM,USA
2021-01-01,Senior-level,Full Time,Machine Learning,24000,Brazil,>80% Remote,Brazil,Medium,BRA,BRA
2021-01-01,Entry-level,Full Time,Data Scientist,100000,United States,<20% Remote,United States,Small,USA,USA
2021-01-01,Mid-level,Full Time,Data Analyst,90000,United States,>80% Remote,United States,Medium,USA,USA
2021-01-01,Mid-level,Full Time,Machine Learning,63711,Japan,Partial Remote,Japan,Small,JPN,JPN
2021-01-01,Mid-level,Full Time,Machine Learning,77364,Japan,Partial Remote,Japan,Small,JPN,JPN
2021-01-01,Senior-level,Full Time,Data Scientist,220000,United States,<20% Remote,United States,Large,USA,USA
2021-01-01,Entry-level,Full Time,Data Scientist,80000,United States,>80% Remote,United States,Medium,USA,USA
2021-01-01,Mid-level,Full Time,Data Analyst,135000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Data Scientist,240000,United States,<20% Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Data Engineer,150000,United States,<20% Remote,United States,Large,USA,USA
2021-01-01,Mid-level,Full Time,Data Scientist,82500,United States,>80% Remote,United States,Small,USA,USA
2021-01-01,Mid-level,Full Time,Data Engineer,100000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Machine Learning,82744,Belgium,Partial Remote,Belgium,Medium,BEL,BEL
2021-01-01,Mid-level,Full Time,research scientist,62649,France,Partial Remote,France,Medium,FRA,FRA
2021-01-01,Mid-level,Full Time,Data Engineer,90000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Data Engineer,153000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Data Engineer,160000,Brazil,>80% Remote,United States,Small,BRA,USA
2021-01-01,Senior-level,Full Time,Data Scientist,168000,Japan,<20% Remote,Japan,Small,JPN,JPN
2021-01-01,Mid-level,Full Time,Data Scientist,150000,United States,>80% Remote,United States,Medium,USA,USA
2021-01-01,Mid-level,Full Time,Data Scientist,75774,Canada,>80% Remote,Canada,Large,CAN,CAN
2021-01-01,Entry-level,Full Time,Data Scientist,13400,Ukraine,>80% Remote,Ukraine,Large,UKR,UKR
2021-01-01,Senior-level,Full Time,Data Scientist,144000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Data Scientist,127221,Canada,Partial Remote,Canada,Large,CAN,CAN
2021-01-01,Mid-level,Full Time,Data Scientist,119059,Singapore,>80% Remote,Israel,Medium,SGP,ISR
2021-01-01,Mid-level,Full Time,Machine Learning,423000,United States,Partial Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Data Analyst,120000,United States,>80% Remote,United States,Medium,USA,USA
2021-01-01,Entry-level,Full Time,Machine Learning,125000,United States,>80% Remote,United States,Small,USA,USA
2021-01-01,Executive-level,Full Time,Data Scientist,230000,Russian Federation,Partial Remote,Russian Federation,Large,RUS,RUS
2021-01-01,Executive-level,Full Time,Data Scientist,85000,Russian Federation,<20% Remote,Russian Federation,Medium,RUS,RUS
2021-01-01,Mid-level,Full Time,Data Engineer,28369,Malta,Partial Remote,Malta,Large,MLT,MLT
2021-01-01,Entry-level,Full Time,Data Scientist,63831,Germany,Partial Remote,Germany,Large,DEU,DEU
2021-01-01,Executive-level,Full Time,Data Scientist,130026,Germany,Partial Remote,Germany,Medium,DEU,DEU
2021-01-01,Senior-level,Full Time,Data Scientist,165000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Entry-level,Full Time,Data Engineer,80000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Executive-level,Full Time,Data Scientist,250000,United States,<20% Remote,United States,Large,USA,USA
2021-01-01,Entry-level,Full Time,Data Analyst,55000,United States,Partial Remote,United States,Small,USA,USA
2021-01-01,Mid-level,Full Time,Data Architect,150000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Mid-level,Full Time,Data Architect,170000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Mid-level,Full Time,Data Engineer,82528,United Kingdom,>80% Remote,United Kingdom,Large,GBR,GBR
2021-01-01,Entry-level,Full Time,Data Analyst,60000,United States,>80% Remote,United States,Small,USA,USA
2021-01-01,Senior-level,Full Time,Data Scientist,235000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,research scientist,60757,Portugal,Partial Remote,Portugal,Large,PRT,PRT
2021-01-01,Senior-level,Full Time,Data Engineer,174000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Mid-level,Full Time,Data Scientist,2859,Mexico,<20% Remote,Mexico,Small,MEX,MEX
2021-01-01,Mid-level,Full Time,Data Scientist,40038,Chile,>80% Remote,Chile,Large,CHL,CHL
2021-01-01,Entry-level,Full Time,Machine Learning,81000,United States,Partial Remote,United States,Small,USA,USA
2021-01-01,Mid-level,Full Time,Data Scientist,5679,India,>80% Remote,United States,Small,IND,USA
2021-01-01,Mid-level,Full Time,Data Engineer,22611,India,<20% Remote,India,Large,IND,IND
2021-01-01,Mid-level,Full Time,Data Scientist,90734,Germany,Partial Remote,Germany,Large,DEU,DEU
2021-01-01,Mid-level,Full Time,Data Engineer,26005,Romania,<20% Remote,United States,Large,ROU,USA
2021-01-01,Senior-level,Full Time,Data Analyst,61896,United Kingdom,Partial Remote,United Kingdom,Large,GBR,GBR
2021-01-01,Mid-level,Freelance,Machine Learning,12000,Pakistan,Partial Remote,Pakistan,Medium,PAK,PAK
2021-01-01,Mid-level,Full Time,Data Engineer,4000,"Iran, Islamic Republic of",>80% Remote,"Iran, Islamic Republic of",Medium,IRN,IRN
2021-01-01,Senior-level,Full Time,Data Analyst,50000,Viet Nam,>80% Remote,United Kingdom,Medium,VNM,GBR
2021-01-01,Executive-level,Full Time,Data Scientist,69741,France,>80% Remote,Spain,Small,FRA,ESP
2021-01-01,Senior-level,Full Time,Data Engineer,76833,Romania,Partial Remote,United Kingdom,Small,ROU,GBR
2021-01-01,Mid-level,Full Time,Machine Learning,74000,Japan,Partial Remote,Japan,Small,JPN,JPN
2021-01-01,Senior-level,Full Time,Data Scientist,152000,United States,>80% Remote,France,Large,USA,FRA
2021-01-01,Entry-level,Full Time,Machine Learning,21844,Colombia,Partial Remote,Colombia,Medium,COL,COL
2021-01-01,Mid-level,Full Time,Data Engineer,18000,"Moldova, Republic of",<20% Remote,"Moldova, Republic of",Small,MDA,MDA
2021-01-01,Senior-level,Full Time,Data Scientist,174000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,research scientist,96113,Canada,Partial Remote,Canada,Large,CAN,CAN
2021-01-01,Mid-level,Full Time,Data Scientist,147000,United States,Partial Remote,United States,Large,USA,USA
2021-01-01,Entry-level,Full Time,Data Analyst,9272,Kenya,>80% Remote,Kenya,Small,KEN,KEN
2021-01-01,Senior-level,Full Time,Machine Learning,24342,India,>80% Remote,India,Large,IND,IND
2021-01-01,Senior-level,Full Time,Data Scientist,54094,India,Partial Remote,United States,Large,IND,USA
2021-01-01,Entry-level,Full Time,Data Scientist,90000,United States,>80% Remote,United States,Small,USA,USA
2021-01-01,Mid-level,Full Time,Data Scientist,61467,Germany,Partial Remote,Austria,Medium,DEU,AUT
2021-01-01,Senior-level,Full Time,Machine Learning,195000,United States,>80% Remote,United States,Medium,USA,USA
2021-01-01,Mid-level,Full Time,Data Scientist,37825,Spain,>80% Remote,Spain,Large,ESP,ESP
2021-01-01,Senior-level,Full Time,research scientist,50000,France,>80% Remote,United States,Small,FRA,USA
2021-01-01,Mid-level,Full Time,Data Scientist,160000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Mid-level,Full Time,Data Scientist,12901,Brazil,<20% Remote,Brazil,Small,BRA,BRA
2021-01-01,Senior-level,Full Time,Machine Learning,200000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Data Engineer,165000,United States,<20% Remote,United States,Medium,USA,USA
2021-01-01,Mid-level,Freelance,Data Engineer,20000,Italy,<20% Remote,United States,Large,ITA,USA
2021-01-01,Senior-level,Full Time,Data Analyst,120000,United States,<20% Remote,United States,Large,USA,USA
2021-01-01,Mid-level,Full Time,Machine Learning,24823,Slovenia,Partial Remote,Slovenia,Large,SVN,SVN
2021-01-01,Mid-level,Full Time,research scientist,56738,France,Partial Remote,France,Small,FRA,FRA
2021-01-01,Mid-level,Full Time,Data Engineer,66022,Hong Kong,Partial Remote,United Kingdom,Small,HKG,GBR
2021-01-01,Entry-level,Full Time,Data Engineer,5882,India,<20% Remote,Switzerland,Large,IND,CHE
2021-01-01,Entry-level,Full Time,Machine Learning,24823,Germany,Partial Remote,Germany,Medium,DEU,DEU
2021-01-01,Senior-level,Full Time,Data Engineer,185000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Entry-level,Part Time,Machine Learning,28609,Denmark,Partial Remote,Denmark,Small,DNK,DNK
2021-01-01,Mid-level,Full Time,Data Scientist,90734,Germany,Partial Remote,Germany,Large,DEU,DEU
2021-01-01,Mid-level,Full Time,Machine Learning,88654,Belgium,>80% Remote,Belgium,Medium,BEL,BEL
2021-01-01,Senior-level,Full Time,Data Analyst,140000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Mid-level,Full Time,Machine Learning,46597,Poland,>80% Remote,Poland,Large,POL,POL
2021-01-01,Mid-level,Full Time,Data Scientist,116914,United Kingdom,Partial Remote,United Kingdom,Large,GBR,GBR
2021-01-01,Mid-level,Full Time,Data Scientist,33808,India,<20% Remote,India,Medium,IND,IND
2021-01-01,Mid-level,Full Time,Data Scientist,56256,United Kingdom,Partial Remote,United Kingdom,Large,GBR,GBR
2021-01-01,Senior-level,Full Time,Machine Learning,225000,United States,>80% Remote,Canada,Large,USA,CAN
2021-01-01,Executive-level,Contract,Data Scientist,416000,United States,>80% Remote,United States,Small,USA,USA
2021-01-01,Senior-level,Full Time,Data Scientist,87738,Canada,>80% Remote,Canada,Small,CAN,CAN
2021-01-01,Mid-level,Full Time,Data Scientist,88654,Germany,Partial Remote,Germany,Large,DEU,DEU
2021-01-01,Senior-level,Full Time,Data Scientist,135000,United States,<20% Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Data Analyst,71786,Canada,>80% Remote,Canada,Medium,CAN,CAN
2021-01-01,Entry-level,Full Time,Data Engineer,16228,India,>80% Remote,India,Large,IND,IND
2021-01-01,Senior-level,Full Time,Machine Learning,256000,United States,>80% Remote,United States,Small,USA,USA
2021-01-01,Senior-level,Full Time,Data Engineer,200000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Data Analyst,200000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Mid-level,Full Time,Data Architect,180000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Mid-level,Full Time,Data Scientist,110000,United States,<20% Remote,United States,Small,USA,USA
2021-01-01,Mid-level,Full Time,research scientist,63810,Canada,>80% Remote,Canada,Medium,CAN,CAN
2021-01-01,Mid-level,Full Time,Data Scientist,46809,Spain,>80% Remote,Spain,Medium,ESP,ESP
2021-01-01,Entry-level,Full Time,Data Scientist,4000,Viet Nam,<20% Remote,Viet Nam,Medium,VNM,VNM
2021-01-01,Entry-level,Full Time,Data Engineer,21637,India,Partial Remote,India,Medium,IND,IND
2021-01-01,Senior-level,Full Time,Data Scientist,103691,Canada,>80% Remote,Canada,Large,CAN,CAN
2021-01-01,Mid-level,Full Time,Data Analyst,80000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Mid-level,Full Time,Data Engineer,110000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Data Scientist,165000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Entry-level,Full Time,Machine Learning,18053,India,>80% Remote,American Samoa,Small,IND,ASM
2021-01-01,Mid-level,Full Time,Data Engineer,72212,United Kingdom,Partial Remote,United Kingdom,Large,GBR,GBR
2021-01-01,Entry-level,Full Time,Data Scientist,36643,France,Partial Remote,France,Large,FRA,FRA
2021-01-01,Mid-level,Full Time,Data Engineer,12103,Turkey,<20% Remote,Turkey,Medium,TUR,TUR
2021-01-01,Senior-level,Full Time,Data Engineer,96282,United Kingdom,Partial Remote,United Kingdom,Large,GBR,GBR
2021-01-01,Senior-level,Full Time,Data Analyst,170000,United States,>80% Remote,United States,Medium,USA,USA
2021-01-01,Mid-level,Full Time,Data Scientist,115000,United States,Partial Remote,United States,Large,USA,USA
2021-01-01,Entry-level,Full Time,Data Scientist,90000,United States,>80% Remote,United States,Small,USA,USA
2021-01-01,Executive-level,Full Time,Data Engineer,600000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Entry-level,Full Time,Data Scientist,28399,India,>80% Remote,India,Medium,IND,IND
2021-01-01,Mid-level,Full Time,Data Analyst,93000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Data Architect,99703,Canada,Partial Remote,Canada,Medium,CAN,CAN
2021-01-01,Mid-level,Full Time,Data Engineer,200000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Data Scientist,173762,Germany,>80% Remote,Germany,Medium,DEU,DEU
2021-01-01,Senior-level,Full Time,Machine Learning,185000,United States,Partial Remote,United States,Large,USA,USA
2021-01-01,Executive-level,Full Time,Data Scientist,141846,Germany,<20% Remote,Germany,Large,DEU,DEU
2021-01-01,Mid-level,Full Time,Data Scientist,130000,United States,Partial Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Data Analyst,63831,Germany,Partial Remote,Germany,Large,DEU,DEU
2021-01-01,Mid-level,Full Time,Data Scientist,16904,India,>80% Remote,India,Small,IND,IND
2021-01-01,Senior-level,Full Time,Machine Learning,66265,India,<20% Remote,India,Large,IND,IND
2021-01-01,Mid-level,Full Time,Data Scientist,25532,Serbia,>80% Remote,Germany,Small,SRB,DEU
